net,length_um
_11393_,168.11
_08387_,168
_02618_,167.72
_01888_,167.67
_08514_,167.63
_09731_,167.6
_02283_,167.26
_01514_,167.24
_07189_,167.17
_07675_,166.96
_00921_,166.39
_10790_,166.39
_01633_,166.34
_02835_,166.3
_08203_,166.15
_10104_,166.14
_09647_,166.135
_04415_,166.06
_09808_,166
_08749_,165.87
_01251_,165.35
_00929_,165.32
_01094_,165.18
_03003_,165.16
_09011_,164.78
_09394_,164.76
_06826_,164.64
_11220_,164.63
_09115_,164.59
_14038_,164.52
_06838_,164.28
_14020_,164.22
_07789_,163.86
_14089_,163.695
_06494_,163.68
_09408_,163.59
_09146_,163.47
_00850_,163.25
_11473_,163.23
_07329_,163.14
_13144_,163
_13447_,162.92
_09667_,162.86
_01118_,162.855
_07215_,162.74
_02987_,162.72
_01117_,162.49
_00880_,162.46
_00748_,162.42
_14281_,162.3
_09048_,162.27
_11021_,161.88
_06069_,161.6
_07392_,161.58
_01293_,161.405
_01885_,161.4
_04595_,161.26
_05710_,161.2
_08506_,161.07
_02565_,161.06
_00999_,161.02
_07330_,160.88
_11584_,160.64
_12094_,160.48
_14201_,160.45
_08807_,160.44
_07271_,160.4
_11024_,160.3
_07300_,160.24
_01419_,160.14
_09994_,160.13
_00853_,160.07
_13186_,160.07
_07863_,160.05
_01365_,160
_01705_,159.9
_07802_,159.89
_09617_,159.8
_09348_,159.66
_01013_,159.42
_08839_,159.04
_04518_,158.66
_10097_,158.66
_10965_,158.57
_02022_,158.5
_03322_,158.26
_05712_,158.02
_09045_,157.99
_14231_,157.98
_01024_,157.92
_09673_,157.89
_09229_,157.78
_01025_,157.38
_07008_,157.34
_09209_,157.15
_01480_,157.03
_00967_,156.98
_02002_,156.98
_06373_,156.92
_01797_,156.81
_06450_,156.74
_13307_,156.72
_14392_,156.68
_13634_,156.56
_01876_,156.425
_07877_,156.38
_07868_,156.33
_06492_,156.18
_03821_,156.1
_00588_,156.09
_04857_,156.06
_01853_,155.92
_07783_,155.84
_11042_,155.78
_14122_,155.54
_09714_,155.295
_14199_,155.12
_07714_,155.04
_03378_,154.68
_09358_,154.62
_10149_,154.595
_01292_,154.52
_01382_,154.365
_07306_,154.26
_08279_,154.05
_00916_,153.83
_10426_,153.74
_04284_,153.72
_08197_,153.72
_06216_,153.55
_08153_,153.4
_03716_,153.31
_07494_,153.29
_01122_,153.16
_01255_,153.07
_07553_,153.06
_05888_,152.96
_03026_,152.92
_04939_,152.86
_08980_,152.77
_01882_,152.7
_00851_,152.6
_14250_,152.6
_11378_,152.59
_03421_,152.52
_06755_,152.48
_06522_,152.45
_07597_,152.43
_05904_,152.4
_06904_,152.4
_07527_,152.3
_12107_,152.195
_03758_,152.16
_01171_,152.14
_00991_,152.12
_02487_,151.92
_06186_,151.86
_12357_,151.73
